Название,Местоположение,Улица,Юридическое лицо,Адрес сайта,ИНН,На карте
Белгородский зоопарк,Белгород,"ул Волчанская,д 292в",ООО «Белгородский зоопарк»,http://belzoopark.ru,3123351558,[object Object]
Парк культуры и отдыха им. Н. Островского г. Ступино,Ступинский район,"ул Чайковского,влд 1",Муниципальное автономное учреждение «Парк культуры и отдыха им. Н. Островского» городского поселения Ступино Ступинского МР,http://pkio-stupino.mo.muzkult.ru,5045030950,[object Object]
Городской парк г. Елец,Елец,"ул Коммунаров,д 12",МАУК «Городской парк» г. Ельца,http://gorpark.ucoz.ru,4821009890,[object Object]
Дубовая роща г. Кашира,Городской округ Кашира,,МБУК «Дом культуры Ожерелье»,,5019013355,[object Object]
Парк Александрия,Санкт-Петербург,"пр-кт Санкт-Петербургский,д 5",ФГБУК «Государственный музей-заповедник «Петергоф»,http://peterhofmuseum.ru,7819012731,[object Object]
Парк Захарово,Одинцовский район,"ул Зеленая,д 1А",Муниципальное бюджетное учреждение «Парк Захарово»,http://zakharovopark.ru,5032197038,[object Object]
Центральный парк развлечений им. М. Горького,Пермь,"ул Сибирская,д 49",ООО «Центральный парк развлечений им. А. М. Горького»,http://parkperm.ru,,[object Object]
Парк культуры и отдыха г. Мичуринск,Мичуринск,"ул Советская,д 355А",МБУК «Парк культуры и отдыха»,http://park-michurinsk.ru,6827012772,[object Object]
Парк культуры и отдыха «Дубки»,Городской округ Озёры,"ул Парковая,д 2в",МУК «Городской центр культуры и досуга»,,,[object Object]
Стародубский городской парк им. А. И. Рубца,Стародуб,ул Садовая,МУК «Парк культуры и отдыха им. А. И. Рубца города Стародуба»,,3253002614,[object Object]
Парк культуры и отдыха «Дружба»,Похвистнево,ул Комсомольская,МБУК «Дворец культуры» г.о. Похвистнево Самарской области,,6357020317,[object Object]
Городской парк «Культурный досуговый центр»,Усманский район,"ул Исполатова,д 11а",МБУК «Культурный досуговый центр»,,4816024148,[object Object]
Парковая зона с. Верхняя Хава,Верхнехавский район,ул 50 лет Октября,КМУК «Верхнехвский Дворец культуры»,http://vhavadk.ru,,[object Object]
Городской парк культуры и отдыха города Жигулевска,Жигулёвск,"ул Ленина,д 3",Муниципальное бюджетное учреждение «Городской парк культуры и отдыха» ,http://gorpark63.ru,,[object Object]
Парк культуры и отдыха г. Березники,Березники,"пр-кт Ленина,д 50",МАУ МОК «Парк культуры и отдыха»,http://parkber.ru,5911028881,[object Object]
Парк с. Солдатское,Тербунский район,ул Сельская,МБУК «ПЦКД» с. Солдатское,,4807007869,[object Object]
Парк «Покровский»,Сергиево-Посадский район,"ул Рабочая 2-я,д 1/1а",МБУК «Центр Елизаветы Мамонтовой»,http://centrmamontovoi.ru/category/park-pokrovskij,5042136002,[object Object]
Парк культуры и отдыха им. П. М. Зернова,Саров,"ул Давиденко,д 9",МБУК многофункциональный «Центр развития культуры и искусства г. Саров Нижегородской области»,http://sarovpark.ru,,[object Object]
Детский парк «Гномик»,Сызрань,"ул Советская,д 90",МБУ «Городской дом культуры»,http://gdk-syzran.ru,6325053430,[object Object]
Центральный парк с. Митрофановка,Кантемировский район,ул Победы,МКУК «Митрофановский центр культурно-спортивного досуга»,,,[object Object]
Городской парк культуры и отдыха им. Ю. Гагарина г. Южно-Сахалинск,Южно-Сахалинск,"ул Детская,д 1",МАУ «ГПКиО»,http://sakhalin-park.ru,6501072631,[object Object]
Городской парк культуры и отдыха г. Вичуга,Вичуга,ул Большая Пролетарская,МБУК «Культурный центр»,http://kc-vichuga.ivn.muzkult.ru,,[object Object]
Городской парк Победы,Белгород,ул Победы,МБУК Городской центр народного творчества Сокол,,3123037380,[object Object]
Волоконовский парк культуры и отдыха имени 70-летия Победы,Волоконовский район,ул Ленина,МБУК «Волоконовский парк культуры и отдыха имени 70-летия Победы»,http://ukvol-k.wixsite.com/vol-park,3106007153,[object Object]
Городской парк им. Уральских добровольцев,Унечский район,ул Транспортная,МУК «Унечский городской парк культуры и отдыха им. Уральских добровольцев»,http://gorpark-unecha.my1.ru,3253002195,[object Object]
Парк им. Н. Островского,Ростов-на-Дону,"пр-кт Сельмаш,д 1А",МАУ «Парк культуры и отдыха им. Н. Островского»,,,[object Object]
Парк Победы г. Липецк,Липецк,"пр-кт Имени 60-летия СССР,влд 36",МАУК «Парк Победы»,http://www.parkpobedy48.ru,4826038083,[object Object]
Парк «Пехорка» г. Балашиха,Балашиха,"ул Парковая,влд 4",МАУК Городского округа Балашиха «Объединенная дирекция парков»,https://park-pehorka.ru,5001047561,[object Object]
Парк Победы на Поклонной горе,Москва,"ул Братьев Фонченко,д 7",ГАУК «Парк «Поклонная гора»,http://poklonnaya-gora.ru,7730667350,[object Object]
Московский городской сад «Эрмитаж»,Москва,"ул Каретный Ряд,д 3",ГАУК города Москвы «Московский городской сад «Эрмитаж»,http://www.mosgorsad.ru,,[object Object]
Сад культуры и отдыха им. Н. Э. Баумана,Москва,"ул Басманная Стар.,д 15",ГАУК «Сад культуры и отдыха имени Н. Э. Баумана»,,7701036840,[object Object]
Парк культуры и отдыха п. Локоть,Брасовский район,"ул Советская,д 6а",МБУК «Культурно досуговый-центр Брасовского района»,,,[object Object]
Сиреневый сад,Москва,"Щелковское шоссе,вл. 8-12",ГАУК г. Москвы «Измайловский парк культуры и отдыха»,http://www.izmailovsky-park.ru,7719019638,[object Object]
Парк «Быханов сад»,Липецк,"ул Гагарина,д 70б",МАУК «Парк Быханов сад»,http://byhanovsad.ru,4825033903,[object Object]
Измайловский парк культуры и отдыха,Москва,"аллея Большого Круга,д 7",ГАУК г. Москвы «Измайловский парк культуры и отдыха»,http://www.izmailovsky-park.ru,7719019638,[object Object]
Парк д. Петровское,Тербунский район,ул Молодежная,МБУК «ПЦКД» с. Солдатское,,4807007869,[object Object]
Нижний парк г. Липецка,Липецк,"проезд Петровский,д 2",МАУК «Нижний парк» г. Липецка,http://parki48.ru,4825033910,[object Object]
Парк культуры и отдыха г. Гурьевска,Гурьевск,"ул Калининградское шоссе,д 6б",БУ «Парк культуры и отдыха г. Гурьевска»,https://gurpark.ru,3917026301,[object Object]
Парк культуры и отдыха «Пегас»,Егорьевск,"ул Советская,д 36",МУК «Центр культуры и досуга «Пегас»,http://pkiopegas.ucoz.ru,5011002136,[object Object]
Центральный парк культуры и отдыха им. С. М. Кирова,Санкт-Петербург,"остров Елагин,д 4",Санкт-Петербургское государственное бюджетное учреждение культуры «Центральный парк культуры и отдыха имени С.М. Кирова»,http://elaginpark.org,7813046452,[object Object]
Парк культуры и отдыха п. Клетня,Клетнянский район,"ул Ленина,д 115А",МБУК «Центр народной культуры и досуга»,,,[object Object]
Елизовский районный зоопарк,Елизовский район,"ул Ленина,д 20а",МБУК «Елизовский районный зоопарк»,http://zooparkpk.ru/o-zooparke,4105031356,[object Object]
